system:index,landcover,.geo
0,104,"{""type"":""Point"",""coordinates"":[-69.93993211396594,43.90124841154125]}"
1,104,"{""type"":""Point"",""coordinates"":[-69.93958879121203,43.89939305959635]}"
2,104,"{""type"":""Point"",""coordinates"":[-69.93958879121203,43.896548074321046]}"
3,104,"{""type"":""Point"",""coordinates"":[-69.93890214570422,43.894321469286275]}"
4,104,"{""type"":""Point"",""coordinates"":[-69.93907380708117,43.89221848808497]}"
5,104,"{""type"":""Point"",""coordinates"":[-69.93873048432727,43.89036285476605]}"
6,104,"{""type"":""Point"",""coordinates"":[-69.9382155001964,43.88813601846605]}"
7,104,"{""type"":""Point"",""coordinates"":[-69.93804383881945,43.88578537871684]}"
8,104,"{""type"":""Point"",""coordinates"":[-69.93735719331164,43.88293974333026]}"
9,104,"{""type"":""Point"",""coordinates"":[-70.21767519586354,43.56668000030311]}"
10,104,"{""type"":""Point"",""coordinates"":[-70.21939180963308,43.56755066214199]}"
11,104,"{""type"":""Point"",""coordinates"":[-70.23363970392018,43.56618247360203]}"
12,104,"{""type"":""Point"",""coordinates"":[-70.38727663629322,43.58396650061843]}"
13,104,"{""type"":""Point"",""coordinates"":[-70.27912996881275,43.634553830213896]}"
14,104,"{""type"":""Point"",""coordinates"":[-70.29011629693775,43.610570548169356]}"
15,104,"{""type"":""Point"",""coordinates"":[-70.29354952447682,43.61156486392251]}"
16,104,"{""type"":""Point"",""coordinates"":[-70.2896013128069,43.60982480056676]}"
17,104,"{""type"":""Point"",""coordinates"":[-70.29200457208424,43.61081912864875]}"
18,104,"{""type"":""Point"",""coordinates"":[-70.28925799005299,43.60845757261309]}"
19,104,"{""type"":""Point"",""coordinates"":[-70.38126848809986,43.652317655934915]}"
20,104,"{""type"":""Point"",""coordinates"":[-70.3829851018694,43.652566063804215]}"
21,104,"{""type"":""Point"",""coordinates"":[-70.62004946344166,43.97067399150963]}"
22,104,"{""type"":""Point"",""coordinates"":[-70.61884783380299,43.968944352021964]}"
23,104,"{""type"":""Point"",""coordinates"":[-70.72853945367604,44.107895887654365]}"
24,104,"{""type"":""Point"",""coordinates"":[-70.73025606744557,44.108388917938356]}"
25,104,"{""type"":""Point"",""coordinates"":[-70.72819613092213,44.106909814749024]}"
26,104,"{""type"":""Point"",""coordinates"":[-70.72562121026783,44.10419802943997]}"
27,104,"{""type"":""Point"",""coordinates"":[-70.7242479192522,44.10493761958888]}"
28,104,"{""type"":""Point"",""coordinates"":[-70.73180101983814,44.108388917938356]}"
29,104,"{""type"":""Point"",""coordinates"":[-70.73368929498463,44.11159351454278]}"
30,104,"{""type"":""Point"",""coordinates"":[-70.72956942193775,44.10764937097022]}"
31,104,"{""type"":""Point"",""coordinates"":[-70.73008440606863,44.1066632939524]}"
32,104,"{""type"":""Point"",""coordinates"":[-70.7264795171526,44.104567825671054]}"
33,104,"{""type"":""Point"",""coordinates"":[-70.64871691339283,44.10530741119346]}"
34,104,"{""type"":""Point"",""coordinates"":[-70.63876055352955,44.083978982426665]}"
35,104,"{""type"":""Point"",""coordinates"":[-70.63721560113697,44.0812661453713]}"
36,104,"{""type"":""Point"",""coordinates"":[-70.63807390802174,44.08077288890517]}"
37,104,"{""type"":""Point"",""coordinates"":[-70.64030550592213,44.0844722121625]}"
38,104,"{""type"":""Point"",""coordinates"":[-70.65352343194752,44.09322635564976]}"
39,104,"{""type"":""Point"",""coordinates"":[-70.65472506158619,44.094705801198906]}"
40,104,"{""type"":""Point"",""coordinates"":[-70.6411638128069,44.10925171103968]}"
41,104,"{""type"":""Point"",""coordinates"":[-70.63910387628346,44.10543067454761]}"
42,104,"{""type"":""Point"",""coordinates"":[-70.6389322149065,44.10432129510735]}"
43,104,"{""type"":""Point"",""coordinates"":[-70.63773058526783,44.102595552374375]}"
44,104,"{""type"":""Point"",""coordinates"":[-70.61215304010182,44.11147026404009]}"
45,104,"{""type"":""Point"",""coordinates"":[-70.61180971734791,44.11073075562636]}"
46,104,"{""type"":""Point"",""coordinates"":[-70.60992144220143,44.11233301216126]}"
47,104,"{""type"":""Point"",""coordinates"":[-70.61421297662525,44.116769803557126]}"
48,104,"{""type"":""Point"",""coordinates"":[-70.6136979924944,44.11615360244981]}"
49,104,"{""type"":""Point"",""coordinates"":[-70.61524294488697,44.115907120207666]}"
50,104,"{""type"":""Point"",""coordinates"":[-70.6143846380022,44.114058470620144]}"
51,104,"{""type"":""Point"",""coordinates"":[-70.61249636285572,44.111100510989864]}"
52,104,"{""type"":""Point"",""coordinates"":[-70.61283968560963,44.110854007671236]}"
53,104,"{""type"":""Point"",""coordinates"":[-70.61283968560963,44.11541415263903]}"
54,104,"{""type"":""Point"",""coordinates"":[-70.61558626764088,44.115660636937385]}"
55,104,"{""type"":""Point"",""coordinates"":[-70.61610125177174,44.10271882138312]}"
56,104,"{""type"":""Point"",""coordinates"":[-70.61713122003346,44.10333516257144]}"
57,104,"{""type"":""Point"",""coordinates"":[-70.61781786554127,44.10715633451754]}"
58,104,"{""type"":""Point"",""coordinates"":[-70.61867617242604,44.10875868795254]}"
59,104,"{""type"":""Point"",""coordinates"":[-70.6191911565569,44.1077726294408]}"
60,104,"{""type"":""Point"",""coordinates"":[-70.61644457452564,44.10271882138313]}"
61,104,"{""type"":""Point"",""coordinates"":[-70.61798952691824,44.1030886268672]}"
62,104,"{""type"":""Point"",""coordinates"":[-70.61730288141042,44.103211894847846]}"
63,104,"{""type"":""Point"",""coordinates"":[-70.61592959039479,44.10247228310859]}"
64,104,"{""type"":""Point"",""coordinates"":[-70.61867617242604,44.10740285325792]}"
65,104,"{""type"":""Point"",""coordinates"":[-70.6385888921526,44.08064957414611]}"
66,104,"{""type"":""Point"",""coordinates"":[-70.65421007745533,44.0934729324782]}"
67,104,"{""type"":""Point"",""coordinates"":[-70.6528367864397,44.09273319890858]}"
68,104,"{""type"":""Point"",""coordinates"":[-70.64682863824635,44.08496543778597]}"
69,104,"{""type"":""Point"",""coordinates"":[-70.64854525201588,44.08607518040299]}"
70,104,"{""type"":""Point"",""coordinates"":[-70.6495752202776,44.08755480484085]}"
71,104,"{""type"":""Point"",""coordinates"":[-70.65043352716236,44.08829460318049]}"
72,104,"{""type"":""Point"",""coordinates"":[-70.6495752202776,44.10567720048477]}"
73,104,"{""type"":""Point"",""coordinates"":[-70.64906023614674,44.105184147582285]}"
74,104,"{""type"":""Point"",""coordinates"":[-70.64768694513111,44.10493761958888]}"
75,104,"{""type"":""Point"",""coordinates"":[-70.63721560113697,44.10296535862951]}"
76,104,"{""type"":""Point"",""coordinates"":[-70.63738726251393,44.10271882138313]}"
77,104,"{""type"":""Point"",""coordinates"":[-70.63876055352955,44.103211894847846]}"
78,104,"{""type"":""Point"",""coordinates"":[-70.63927553766041,44.10444456051769]}"
79,104,"{""type"":""Point"",""coordinates"":[-70.6250276433733,44.08952757985139]}"
80,104,"{""type"":""Point"",""coordinates"":[-70.62657259576588,44.08915768954887]}"
81,104,"{""type"":""Point"",""coordinates"":[-70.62691591851979,44.088417902004196]}"
82,104,"{""type"":""Point"",""coordinates"":[-70.62949083917408,44.088048004762015]}"
83,104,"{""type"":""Point"",""coordinates"":[-70.63069246881275,44.089650876104876]}"
84,104,"{""type"":""Point"",""coordinates"":[-70.62863253228932,44.09236332865395]}"
85,104,"{""type"":""Point"",""coordinates"":[-70.62708757989674,44.092979777793225]}"
86,104,"{""type"":""Point"",""coordinates"":[-70.62828920953541,44.09224003805499]}"
87,104,"{""type"":""Point"",""coordinates"":[-70.62674425714283,44.09174687308904]}"
88,104,"{""type"":""Point"",""coordinates"":[-70.62777422540455,44.09187016471607]}"
89,104,"{""type"":""Point"",""coordinates"":[-70.62451265924244,44.08965087610488]}"
90,104,"{""type"":""Point"",""coordinates"":[-70.62554262750416,44.08928098657341]}"
91,104,"{""type"":""Point"",""coordinates"":[-70.62708757989674,44.08582857273172]}"
92,104,"{""type"":""Point"",""coordinates"":[-70.62605761163502,44.08422559780863]}"
93,104,"{""type"":""Point"",""coordinates"":[-70.62382601373463,44.08077288890517]}"
94,104,"{""type"":""Point"",""coordinates"":[-70.62262438409596,44.05511788591825]}"
95,104,"{""type"":""Point"",""coordinates"":[-70.62193773858814,44.05487114922383]}"
96,104,"{""type"":""Point"",""coordinates"":[-70.62125109308033,44.05474778049109]}"
97,104,"{""type"":""Point"",""coordinates"":[-70.62228106134205,44.05487114922383]}"
98,104,"{""type"":""Point"",""coordinates"":[-70.62331102960377,44.05548798903229]}"
99,104,"{""type"":""Point"",""coordinates"":[-70.62365435235768,44.05647491936112]}"
100,104,"{""type"":""Point"",""coordinates"":[-70.64888857476979,44.10493761958888]}"
101,104,"{""type"":""Point"",""coordinates"":[-70.64974688165455,44.105184147582285]}"
102,104,"{""type"":""Point"",""coordinates"":[-70.62605761163502,44.08459551895389]}"
103,104,"{""type"":""Point"",""coordinates"":[-70.62554262750416,44.08311582049358]}"
104,104,"{""type"":""Point"",""coordinates"":[-70.61867617242604,44.05166347864337]}"
105,104,"{""type"":""Point"",""coordinates"":[-70.6191911565569,44.049812820430894]}"
106,104,"{""type"":""Point"",""coordinates"":[-70.62073610894947,44.052403725736575]}"
107,104,"{""type"":""Point"",""coordinates"":[-70.62125109308033,44.05030633494185]}"
108,104,"{""type"":""Point"",""coordinates"":[-70.6221093999651,44.05154010322831]}"
109,104,"{""type"":""Point"",""coordinates"":[-70.62056444757252,44.04993619944414]}"
110,104,"{""type"":""Point"",""coordinates"":[-70.62090777032644,44.04907254095414]}"
111,104,"{""type"":""Point"",""coordinates"":[-70.62193773858814,44.050553090655235]}"
112,104,"{""type"":""Point"",""coordinates"":[-70.61644457452564,44.03475865246341]}"
113,104,"{""type"":""Point"",""coordinates"":[-70.61764620416432,44.03599274458264]}"
114,104,"{""type"":""Point"",""coordinates"":[-70.61455629937916,44.03673318751781]}"
115,104,"{""type"":""Point"",""coordinates"":[-70.61764620416432,44.03562251964546]}"
116,104,"{""type"":""Point"",""coordinates"":[-70.59859179132252,44.015873838304884]}"
117,104,"{""type"":""Point"",""coordinates"":[-70.59739016168385,44.0143924219765]}"
118,104,"{""type"":""Point"",""coordinates"":[-70.59670351617604,44.014145515657084]}"
119,104,"{""type"":""Point"",""coordinates"":[-70.61507128351002,44.01513313476672]}"
120,104,"{""type"":""Point"",""coordinates"":[-70.61575792901783,44.015503487692335]}"
121,104,"{""type"":""Point"",""coordinates"":[-70.61455629937916,44.01513313476672]}"
