system:index,landcover,.geo
0,101,"{""type"":""Point"",""coordinates"":[-70.19540920695977,43.67651867869241]}"
1,101,"{""type"":""Point"",""coordinates"":[-70.22888317546563,43.68880867870291]}"
2,101,"{""type"":""Point"",""coordinates"":[-70.09146824321465,43.68297434614281]}"
3,101,"{""type"":""Point"",""coordinates"":[-70.1890577360125,43.66422616100893]}"
4,101,"{""type"":""Point"",""coordinates"":[-70.15024950719749,43.74998010998323]}"
5,101,"{""type"":""Point"",""coordinates"":[-70.14827540136253,43.75180911203189]}"
6,101,"{""type"":""Point"",""coordinates"":[-70.1284055969802,43.76089129418334]}"
7,101,"{""type"":""Point"",""coordinates"":[-70.12862017370139,43.760147413006294]}"
8,101,"{""type"":""Point"",""coordinates"":[-70.50915356284463,43.76497925611469]}"
9,101,"{""type"":""Point"",""coordinates"":[-70.50790901786172,43.76541315287991]}"
10,101,"{""type"":""Point"",""coordinates"":[-70.38817520743692,43.85327429276646]}"
11,101,"{""type"":""Point"",""coordinates"":[-70.39272423392617,43.85438837279543]}"
12,101,"{""type"":""Point"",""coordinates"":[-70.38997765189494,43.86280519365549]}"
13,101,"{""type"":""Point"",""coordinates"":[-70.5559742034086,44.012561595135594]}"
14,101,"{""type"":""Point"",""coordinates"":[-70.5673038542875,44.01861066559225]}"
15,101,"{""type"":""Point"",""coordinates"":[-70.605756002725,44.04872338055212]}"
16,101,"{""type"":""Point"",""coordinates"":[-70.59030647879922,44.026633990532844]}"
17,101,"{""type"":""Point"",""coordinates"":[-70.58996315604531,44.020585738630764]}"
18,101,"{""type"":""Point"",""coordinates"":[-70.58361168509805,44.0223138735688]}"
19,101,"{""type"":""Point"",""coordinates"":[-70.57502861625039,44.012191223837064]}"
20,101,"{""type"":""Point"",""coordinates"":[-70.58069344168985,44.016265180905606]}"
21,101,"{""type"":""Point"",""coordinates"":[-70.51069896126057,43.76532894220923]}"
22,101,"{""type"":""Point"",""coordinates"":[-70.50881068611409,43.76594879014409]}"
23,101,"{""type"":""Point"",""coordinates"":[-70.50572078132893,43.766816566462495]}"
24,101,"{""type"":""Point"",""coordinates"":[-70.51018397712971,43.7649570303653]}"
25,101,"{""type"":""Point"",""coordinates"":[-70.51155726814534,43.76470908785145]}"
26,101,"{""type"":""Point"",""coordinates"":[-70.50640742683674,43.76545291231003]}"
27,101,"{""type"":""Point"",""coordinates"":[-70.50795237922932,43.765081001236844]}"
28,101,"{""type"":""Point"",""coordinates"":[-70.5094973316219,43.764833059236814]}"
29,101,"{""type"":""Point"",""coordinates"":[-70.5120722522762,43.7649570303653]}"
30,101,"{""type"":""Point"",""coordinates"":[-70.50760905647542,43.769047933475285]}"
31,101,"{""type"":""Point"",""coordinates"":[-70.5040041675594,43.76743639898249]}"
32,101,"{""type"":""Point"",""coordinates"":[-70.50486247444417,43.76607275896032]}"
33,101,"{""type"":""Point"",""coordinates"":[-70.50820870030287,43.76569447085333]}"
34,101,"{""type"":""Point"",""coordinates"":[-70.50657791722182,43.76749200118541]}"
35,101,"{""type"":""Point"",""coordinates"":[-70.50537628758315,43.76693415272502]}"
36,101,"{""type"":""Point"",""coordinates"":[-70.50546211827162,43.766190346684986]}"
37,101,"{""type"":""Point"",""coordinates"":[-70.50434631932143,43.76755398402654]}"
38,101,"{""type"":""Point"",""coordinates"":[-70.5044321500099,43.76773993216455]}"
39,101,"{""type"":""Point"",""coordinates"":[-70.50786537754897,43.76767794951611]}"
40,101,"{""type"":""Point"",""coordinates"":[-70.5081228696144,43.76773993216455]}"
41,101,"{""type"":""Point"",""coordinates"":[-70.23077893548788,43.715015681941594]}"
42,101,"{""type"":""Point"",""coordinates"":[-70.23112225824178,43.7134026923814]}"
43,101,"{""type"":""Point"",""coordinates"":[-70.23249554925741,43.71365084744728]}"
44,101,"{""type"":""Point"",""coordinates"":[-70.23112225824178,43.71303045785588]}"
