system:index,landcover,.geo
0,103,"{""type"":""Point"",""coordinates"":[-70.08666895174571,43.71533568237313]}"
1,103,"{""type"":""Point"",""coordinates"":[-70.08572481417247,43.715645866039424]}"
2,103,"{""type"":""Point"",""coordinates"":[-70.08684061312266,43.715273645447176]}"
3,103,"{""type"":""Point"",""coordinates"":[-70.14597795748301,43.71366066283045]}"
4,103,"{""type"":""Point"",""coordinates"":[-70.14683626436778,43.71248191730878]}"
5,103,"{""type"":""Point"",""coordinates"":[-70.15104196810313,43.71198559646877]}"
6,103,"{""type"":""Point"",""coordinates"":[-70.51786460779829,43.83925134314458]}"
7,103,"{""type"":""Point"",""coordinates"":[-70.51846542261762,43.83826079948233]}"
8,103,"{""type"":""Point"",""coordinates"":[-70.52061118982954,43.826868365438266]}"
9,103,"{""type"":""Point"",""coordinates"":[-70.52224197291059,43.82835445842716]}"
10,103,"{""type"":""Point"",""coordinates"":[-70.51812209986372,43.82798293864858]}"
11,103,"{""type"":""Point"",""coordinates"":[-70.51837959192915,43.82730181304865]}"
12,103,"{""type"":""Point"",""coordinates"":[-70.51383056543989,43.83157419964208]}"
13,103,"{""type"":""Point"",""coordinates"":[-70.51726379297895,43.83869416435801]}"
14,103,"{""type"":""Point"",""coordinates"":[-70.53056754969282,43.8296547594416]}"
15,103,"{""type"":""Point"",""coordinates"":[-70.53142585657758,43.828787895246116]}"
16,103,"{""type"":""Point"",""coordinates"":[-70.53185501001997,43.8373321498642]}"
17,103,"{""type"":""Point"",""coordinates"":[-70.53219833277387,43.83597010428046]}"
18,103,"{""type"":""Point"",""coordinates"":[-70.53159751795455,43.841418100075465]}"
19,103,"{""type"":""Point"",""coordinates"":[-70.53116836451215,43.84680369783215]}"
20,103,"{""type"":""Point"",""coordinates"":[-70.51674880884809,43.83559863190728]}"
21,103,"{""type"":""Point"",""coordinates"":[-70.65996519459338,43.84573990803217]}"
22,103,"{""type"":""Point"",""coordinates"":[-70.65721861256213,43.846482724192775]}"
23,103,"{""type"":""Point"",""coordinates"":[-70.65498701466174,43.84660652598691]}"
24,103,"{""type"":""Point"",""coordinates"":[-70.67095152271838,43.86443130181198]}"
25,103,"{""type"":""Point"",""coordinates"":[-70.65653196705432,43.87396041928777]}"
