system:index,landcover,.geo
0,102,"{""type"":""Point"",""coordinates"":[-70.43929592817392,43.874845545095646]}"
1,102,"{""type"":""Point"",""coordinates"":[-70.44187084882822,43.877505961103786]}"
2,102,"{""type"":""Point"",""coordinates"":[-70.44281498640146,43.8754642570923]}"
3,102,"{""type"":""Point"",""coordinates"":[-70.44049755781259,43.87428869880622]}"
4,102,"{""type"":""Point"",""coordinates"":[-70.43843762128915,43.87329873699951]}"
5,102,"{""type"":""Point"",""coordinates"":[-70.44006840437021,43.877382223458135]}"
6,102,"{""type"":""Point"",""coordinates"":[-70.43818012922372,43.87670166181397]}"
7,102,"{""type"":""Point"",""coordinates"":[-70.44204251020517,43.86785365310699]}"
8,102,"{""type"":""Point"",""coordinates"":[-70.44564739912119,43.86754425840496]}"
9,102,"{""type"":""Point"",""coordinates"":[-70.44478909223642,43.87008124755383]}"
10,102,"{""type"":""Point"",""coordinates"":[-70.44109837263193,43.88369251576629]}"
11,102,"{""type"":""Point"",""coordinates"":[-70.4382659599122,43.88146543009152]}"
12,102,"{""type"":""Point"",""coordinates"":[-70.43775097578134,43.87107126280703]}"
13,102,"{""type"":""Point"",""coordinates"":[-70.44187084882822,43.87286562353785]}"
14,102,"{""type"":""Point"",""coordinates"":[-70.4393817588624,43.87100938733549]}"
15,102,"{""type"":""Point"",""coordinates"":[-70.12117288851329,43.7240202181121]}"
16,102,"{""type"":""Point"",""coordinates"":[-70.12005708956309,43.72501265633026]}"
17,102,"{""type"":""Point"",""coordinates"":[-70.12203119539805,43.72321384995351]}"
18,102,"{""type"":""Point"",""coordinates"":[-70.11628053927012,43.727307606737305]}"
19,102,"{""type"":""Point"",""coordinates"":[-70.11842630648204,43.72674938364955]}"
20,102,"{""type"":""Point"",""coordinates"":[-70.11113069796153,43.73350973546318]}"
21,102,"{""type"":""Point"",""coordinates"":[-70.7022730277136,43.85849030188014]}"
22,102,"{""type"":""Point"",""coordinates"":[-70.71085609656126,43.8544055210138]}"
23,102,"{""type"":""Point"",""coordinates"":[-70.7184091971472,43.85539579661565]}"
24,102,"{""type"":""Point"",""coordinates"":[-70.64064659338743,43.82629959745307]}"
25,102,"{""type"":""Point"",""coordinates"":[-70.65300621252806,43.824813453304806]}"
