system:index,landcover,.geo
0,105,"{""type"":""Point"",""coordinates"":[-70.62777422540455,43.98994370954869]}"
1,105,"{""type"":""Point"",""coordinates"":[-70.62382601373463,43.98809112381343]}"
2,105,"{""type"":""Point"",""coordinates"":[-70.61867617242604,43.98376819889579]}"
3,105,"{""type"":""Point"",""coordinates"":[-70.61318300836354,43.978950854577036]}"
4,105,"{""type"":""Point"",""coordinates"":[-70.60185335748463,43.9742566559307]}"
5,105,"{""type"":""Point"",""coordinates"":[-70.60494326226979,43.97870380074202]}"
6,105,"{""type"":""Point"",""coordinates"":[-70.61043642633229,43.98450929409714]}"
7,105,"{""type"":""Point"",""coordinates"":[-70.62399767511158,43.99550111981226]}"
8,105,"{""type"":""Point"",""coordinates"":[-70.63652895562916,43.99698300799023]}"
9,105,"{""type"":""Point"",""coordinates"":[-70.63721560113697,44.00920717338801]}"
10,105,"{""type"":""Point"",""coordinates"":[-70.64167879693775,44.01476277952811]}"
11,105,"{""type"":""Point"",""coordinates"":[-70.64717196100025,44.02019442454508]}"
12,105,"{""type"":""Point"",""coordinates"":[-70.64871691339283,44.01673798073916]}"
13,105,"{""type"":""Point"",""coordinates"":[-70.64459704034596,44.00871331654509]}"
14,105,"{""type"":""Point"",""coordinates"":[-70.65403841607838,44.03883105892231]}"
15,105,"{""type"":""Point"",""coordinates"":[-70.65901659601002,44.042162819666125]}"
16,105,"{""type"":""Point"",""coordinates"":[-70.66450976007252,44.04364354207867]}"
17,105,"{""type"":""Point"",""coordinates"":[-70.6524934636858,44.031920143054855]}"
18,105,"{""type"":""Point"",""coordinates"":[-70.64682863824635,44.02661299990309]}"
19,105,"{""type"":""Point"",""coordinates"":[-70.65661333673268,44.03549911081905]}"
20,105,"{""type"":""Point"",""coordinates"":[-70.61884783380299,43.991302235671085]}"
21,105,"{""type"":""Point"",""coordinates"":[-70.62279604547291,43.98364468212941]}"
22,105,"{""type"":""Point"",""coordinates"":[-70.68751238458424,44.0906372368797]}"
23,105,"{""type"":""Point"",""coordinates"":[-70.68682573907643,44.084472212162495]}"
24,105,"{""type"":""Point"",""coordinates"":[-70.58451555841236,43.89600661362495]}"
25,105,"{""type"":""Point"",""coordinates"":[-70.59824846856861,43.873736614340764]}"
26,105,"{""type"":""Point"",""coordinates"":[-70.58245562188893,43.85789510529628]}"
27,105,"{""type"":""Point"",""coordinates"":[-70.54400347345143,43.872251651706996]}"
28,105,"{""type"":""Point"",""coordinates"":[-70.56597612970143,43.86532133684296]}"
29,105,"{""type"":""Point"",""coordinates"":[-70.50005816095143,43.8702716439709]}"
30,105,"{""type"":""Point"",""coordinates"":[-70.48907183282643,43.88512009858857]}"
31,105,"{""type"":""Point"",""coordinates"":[-70.48151873224049,43.86334109887718]}"
32,105,"{""type"":""Point"",""coordinates"":[-70.4876985418108,43.844525557475215]}"
33,105,"{""type"":""Point"",""coordinates"":[-70.51241778009205,43.80588558452823]}"
34,105,"{""type"":""Point"",""coordinates"":[-70.53851030938893,43.81480472128994]}"
35,105,"{""type"":""Point"",""coordinates"":[-70.58382891290455,43.85195345404604]}"
36,105,"{""type"":""Point"",""coordinates"":[-70.60580156915455,43.861855877235044]}"
37,105,"{""type"":""Point"",""coordinates"":[-70.57215593927174,43.890563604844786]}"
38,105,"{""type"":""Point"",""coordinates"":[-70.58794878595143,43.84749682710408]}"
39,105,"{""type"":""Point"",""coordinates"":[-70.54743670099049,43.84997277207213]}"
40,105,"{""type"":""Point"",""coordinates"":[-70.56528948419361,43.839077845433856]}"
41,105,"{""type"":""Point"",""coordinates"":[-70.52203081720143,43.801921096212354]}"
42,105,"{""type"":""Point"",""coordinates"":[-70.51241778009205,43.77961594727947]}"
43,105,"{""type"":""Point"",""coordinates"":[-70.51653765313893,43.77019571839372]}"
44,105,"{""type"":""Point"",""coordinates"":[-70.35792254083424,43.77812864137542]}"
45,105,"{""type"":""Point"",""coordinates"":[-70.42246721856861,43.871261656061485]}"
46,105,"{""type"":""Point"",""coordinates"":[-70.47259234063893,43.92815969204141]}"
47,105,"{""type"":""Point"",""coordinates"":[-70.42796038263111,43.96672045581134]}"
48,105,"{""type"":""Point"",""coordinates"":[-70.19862078302174,43.72654583192314]}"
49,105,"{""type"":""Point"",""coordinates"":[-70.20686052911549,43.71066525386748]}"
50,105,"{""type"":""Point"",""coordinates"":[-70.20686052911549,43.69577338936799]}"
51,105,"{""type"":""Point"",""coordinates"":[-70.21441362970143,43.686339961884194]}"
52,105,"{""type"":""Point"",""coordinates"":[-70.22608660333424,43.67740166190942]}"
53,105,"{""type"":""Point"",""coordinates"":[-70.23089312188893,43.672435364289754]}"
54,105,"{""type"":""Point"",""coordinates"":[-70.1526155339983,43.61032196666256]}"
55,105,"{""type"":""Point"",""coordinates"":[-70.15673540704518,43.58645335847955]}"
56,105,"{""type"":""Point"",""coordinates"":[-70.16222857110768,43.574018041820416]}"
57,105,"{""type"":""Point"",""coordinates"":[-70.1910676824358,43.596399762557276]}"
58,105,"{""type"":""Point"",""coordinates"":[-70.16703508966236,43.60485291358047]}"
59,105,"{""type"":""Point"",""coordinates"":[-70.10729693048268,43.60087510810157]}"
60,105,"{""type"":""Point"",""coordinates"":[-70.06815813653736,43.5760078650805]}"
61,105,"{""type"":""Point"",""coordinates"":[-70.02695940606861,43.60087510810157]}"
62,105,"{""type"":""Point"",""coordinates"":[-70.00155352227955,43.62722316867534]}"
63,105,"{""type"":""Point"",""coordinates"":[-69.97408770196706,43.648591414598165]}"
64,105,"{""type"":""Point"",""coordinates"":[-70.00773333184986,43.670448730160594]}"
65,105,"{""type"":""Point"",""coordinates"":[-70.01185320489674,43.68882258665652]}"
66,105,"{""type"":""Point"",""coordinates"":[-69.95417498224049,43.68485033769918]}"
67,105,"{""type"":""Point"",""coordinates"":[-69.95829485528738,43.63517503161948]}"
68,105,"{""type"":""Point"",""coordinates"":[-70.08051775567799,43.64710085333279]}"
69,105,"{""type"":""Point"",""coordinates"":[-70.06678484552174,43.73398840397962]}"
70,105,"{""type"":""Point"",""coordinates"":[-70.11073015802174,43.77416231142668]}"
71,105,"{""type"":""Point"",""coordinates"":[-70.1196565496233,43.78159896426806]}"
72,105,"{""type"":""Point"",""coordinates"":[-70.08532427423268,43.810840824943405]}"
73,105,"{""type"":""Point"",""coordinates"":[-70.02421282403736,43.84601121078968]}"
74,105,"{""type"":""Point"",""coordinates"":[-70.03245257013111,43.83412494827832]}"
75,105,"{""type"":""Point"",""coordinates"":[-70.04755877130299,43.82124549170959]}"
76,105,"{""type"":""Point"",""coordinates"":[-70.01459978692799,43.80043434526464]}"
77,105,"{""type"":""Point"",""coordinates"":[-69.98644732110768,43.82322712745051]}"
78,105,"{""type"":""Point"",""coordinates"":[-69.97546099298268,43.83660144824442]}"
79,105,"{""type"":""Point"",""coordinates"":[-69.98850725763111,43.69825562367405]}"
80,105,"{""type"":""Point"",""coordinates"":[-70.00498674981861,43.73696517384511]}"
81,105,"{""type"":""Point"",""coordinates"":[-69.98438738458424,43.76722060097091]}"
